offset,vram,.text
57B90,80057FE0,getcause
57BA0,80057FF0,interrupt
57C30,80058080,thread
57C70,800580C0,probetlb
57D30,80058180,guMtxIdentF
57D80,800581D0,guMtxF2L
57DF0,80058240,guMtxL2F
57E60,800582B0,boot_800582B0
57F50,800583A0,siacs
58010,80058460,sirawdma
580C0,80058510,settimer
58250,800586A0,crc
583C0,80058810,pfsselectbank
58440,80058890,contramread
58670,80058AC0,timerintr
58AA0,80058EF0,jammesg
58BF0,80059040,pigetcmdq
58C20,80059070,piacs
58CE0,80059130,boot_80059130
58D30,80059180,vi
58E50,800592A0,spsetpc
58E80,800592D0,xprintf
59B60,80059FB0,normalize
59BC0,8005A010,getthreadpri
59BE0,8005A030,pirawdma
59CB0,8005A100,epirawdma
59E90,8005A2E0,devmgr
5A2A0,8005A6F0,vigetcurrcontext
5A2B0,8005A700,viswapcontext
5A5B0,8005AA00,spsetstat
5A5C0,8005AA10,spgetstat
5A5D0,8005AA20,sprawdma
5A660,8005AAB0,sp
5A690,8005AAE0,voicecontread36
5A8C0,8005AD10,pfsisplug
5ABB0,8005B000,boot_8005B000
5ABE0,8005B030,voicecrc
5AC80,8005B0D0,boot_8005B0D0
5B300,8005B750,boot_8005B750
5B310,8005B760,boot_8005B760
5B330,8005B780,boot_8005B780
5BFB0,8005C400,boot_8005C400
5CAE0,8005CF30,boot_8005CF30
5CDD0,8005D220,boot_8005D220
5CEE0,8005D330,boot_8005D330
5D0F0,8005D540,si
5D120,8005D570,destroythread
5D230,8005D680,contramwrite
5D480,8005D8D0,pfsgetstatus
5D6B0,8005DB00,setcompare
5D6C0,8005DB10,xlitob
5D960,8005DDB0,xldtob
5E470,8005E8C0,resetglobalintmask
5E4D0,8005E920,epirawwrite
5E630,8005EA80,epirawread
5E790,8005EBE0,setglobalintmask
5E7E0,8005EC30,boot_8005EC30
5E880,8005ECD0,boot_8005ECD0
5E900,8005ED50,contpfs
5F480,8005F8D0,ldiv
5F610,8005FA60,boot_8005FA60

offset,vram,.data
62C50,800630A0,boot_800630A0
9D860,8009DCB0,osViTable
9E9E0,8009EE30,boot_8009EE30
9F510,8009F960,xprintf
9F560,8009F9B0,boot_8009F9B0
9F6A0,8009FAF0,osViModePalLan1
9F6F0,8009FB40,osViModeMpalLan1
9F740,8009FB90,osViModeNtscLan1
9F790,8009FBE0,xlitob
9F7C0,8009FC10,boot_8009FC10


offset,vram,.rodata
9F7E0,8009FC30,boot_8009FC30
9F8A0,8009FCF0,boot_8009FCF0
9F900,8009FD50,boot_8009FD50
9FAE0,8009FF30,boot_8009FF30
9FBA0,8009FFF0,boot_8009FFF0
9FBC0,800A0010,boot_800A0010
9FD70,800A01C0,boot_800A01C0
9FDC0,800A0210,boot_800A0210
9FDD0,800A0220,boot_800A0220
9FDE0,800A0230,boot_800A0230
A0010,800A0460,boot_800A0460
A00E0,800A0530,boot_800A0530
A0110,800A0560,boot_800A0560
A0830,800A0C80,boot_800A0C80
A0880,800A0CD0,boot_800A0CD0
A08E0,800A0D30,boot_800A0D30
A2250,800A26A0,boot_800A26A0
A78D0,800A7D20,llcvt
A78E0,800A7D30,boot_800532F0
A78F0,800A7D40,boot_80053A00
A7970,800A7DC0,sinf
A79C0,800A7E10,cosf
A7A10,800A7E60,__libm_qnan_f
A7A20,800A7E70,boot_800A7E70
A7AC0,800A7F10,xprintf
A7BC0,800A8010,boot_800A8010

offset,vram,.bss
A87B0,800A8C00,boot_800A8C00
100230,80100680,.end
