offset,vram,.text
57470,800578C0,boot_800578C0
575F0,80057A40,boot_80057A40
577F0,80057C40,boot_80057C40
57830,80057C80,boot_80057C80
584F0,80058940,boot_80058940
58580,800589D0,boot_800589D0
585A0,800589F0,boot_800589F0
588B0,80058D00,boot_80058D00
58D50,800591A0,boot_800591A0
59050,800594A0,boot_800594A0
59060,800594B0,boot_800594B0
59070,800594C0,boot_800594C0
59100,80059550,boot_80059550
59130,80059580,boot_80059580
59850,80059CA0,boot_80059CA0
59870,80059CC0,boot_80059CC0
5A4D0,8005A920,boot_8005A920
5B020,8005B470,boot_8005B470
5B320,8005B770,boot_8005B770
5B430,8005B880,boot_8005B880
5B670,8005BAC0,boot_8005BAC0
5BE70,8005C2C0,boot_8005C2C0
5C0C0,8005C510,boot_8005C510
5C0D0,8005C520,boot_8005C520
5C370,8005C7C0,boot_8005C7C0
5CE30,8005D280,boot_8005D280
5CE90,8005D2E0,boot_8005D2E0
5D1C0,8005D610,boot_8005D610
5D210,8005D660,boot_8005D660
5D2B0,8005D700,boot_8005D700
5D350,8005D7A0,boot_8005D7A0
5D4E0,8005D930,boot_8005D930
5DBA0,8005DFF0,boot_8005DFF0
5E800,8005EC50,boot_8005EC50

offset,vram,.data
60CB0,80061100,boot_80061100
A48F0,800A4D40,exceptasm
A4910,800A4D60,boot_800A4D60

offset,vram,.rodata
A4C90,800A50E0,boot_800A50E0
AC6A0,800ACAF0,exceptasm
AC6F0,800ACB40,boot_800ACB40

offset,vram,.bss
AD3F0,800AD840,boot_800AD840
1059E0,80105E30,.end
